OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods 2,"CBD, BID and GBD Boundaries as of 2017 2",Central Market/Tenderloin Boundary Polygon - Updated 2,Neighborhoods
13995,2244 Kirkham St,,Kirkham St,SIDEWALK,1,2,,2020,12,,,POINT (-122.484858076 37.759487718),12/31/2020 12:21,6/17/2024 10:17,Sunset/Parkside,4,39,10,7,35,61,,,39
11915,520 CLEMENT ST,Green Apple Books,CLEMENT,ROADWAY,5,10,,2011,3,37.783184,-122.464872,POINT (-122.464871785 37.783184007),1/29/2020 12:38,6/17/2024 10:17,Inner Richmond,1,5,8,4,11,97,,,5
11686,493 SANCHEZ ST,Unionmade,SANCHEZ,SIDEWALK,1,2,,2012,7,37.761331,-122.430272,POINT (-122.430271793 37.761331006),1/29/2020 12:38,6/17/2024 10:17,Castro/Upper Market,8,37,3,5,5,162,,,37
8601,1942 Market Street,The Mint,Market Street,SIDEWALK,4,8,,2018,9,0,0,POINT (-122.425837801 37.770336638),1/29/2020 12:38,6/17/2024 10:17,Hayes Valley,8,27,7,5,9,137,9,,27
8963,4630 Geary Blvd,Cournale & Co.,Geary Blvd,SIDEWALK,1,1,,2017,11,0,0,POINT (-122.469139109 37.781109809),1/29/2020 12:38,6/17/2024 10:17,Inner Richmond,1,5,8,4,11,97,,,5
13644,4272 23rd Street,,23rd Street,SIDEWALK,1,2,,2020,7,,,POINT (-122.438023652 37.752673349),6/19/2020 16:23,6/17/2024 10:17,Noe Valley,8,84,3,5,22,175,,,84
12192,1067 Folsom St,SF Institute of Esthetics,FOLSOM,SIDEWALK,2,4,,2017,1,37.777241,-122.407093,POINT (-122.407093197 37.777240801),1/29/2020 12:38,6/17/2024 10:17,South of Market,6,32,1,10,34,35,,,32
21253,1535 McAllister Street,,McAllister Street,SIDEWALK,1,2,,2023,4,,,POINT (-122.437285826 37.777874261),11/13/2023 15:39,6/17/2024 10:17,Western Addition,5,23,4,11,39,38,,,23
11071,1501 GROVE ST,Pacific Primary School,GROVE,SIDEWALK,2,4,,2010,0,37.775278,-122.441593,POINT (-122.44159279 37.775278005),1/29/2020 12:38,6/17/2024 10:17,Lone Mountain/USF,5,24,7,11,18,71,,,24
10906,2499 FOLSOM ST,Joe & Pat's Bakery & Coffee,FOLSOM,SIDEWALK,2,4,,2013,4,37.757446,-122.414232,POINT (-122.414231796 37.757446005),1/29/2020 12:38,6/17/2024 10:17,Mission,9,53,3,2,20,169,,,53
